"GEO_ID","NAME","B29004_001E","B29004_001M",
"5001600US0620","Congressional District 20 (116th Congress), California","83722","3978",
"5001600US0621","Congressional District 21 (116th Congress), California","51382","2955",
"5001600US0622","Congressional District 22 (116th Congress), California","65339","3599",
"5001600US0623","Congressional District 23 (116th Congress), California","59881","2337",
"5001600US0624","Congressional District 24 (116th Congress), California","78085","3170",
"5001600US0625","Congressional District 25 (116th Congress), California","83915","3631",
"5001600US0626","Congressional District 26 (116th Congress), California","88047","2769",
"5001600US0627","Congressional District 27 (116th Congress), California","82690","4159",
"5001600US0628","Congressional District 28 (116th Congress), California","76727","2029",
"5001600US0629","Congressional District 29 (116th Congress), California","61523","2641",
"5001600US0630","Congressional District 30 (116th Congress), California","86771","3318",
"5001600US0631","Congressional District 31 (116th Congress), California","69368","3838",
"5001600US0632","Congressional District 32 (116th Congress), California","75176","1774",
"5001600US0633","Congressional District 33 (116th Congress), California","117040","5043",
"5001600US0634","Congressional District 34 (116th Congress), California","51744","2050",
"5001600US0635","Congressional District 35 (116th Congress), California","69814","2011",
"5001600US0636","Congressional District 36 (116th Congress), California","50857","2393",
"5001600US0637","Congressional District 37 (116th Congress), California","67686","3817",
"5001600US0638","Congressional District 38 (116th Congress), California","77214","2816",
"5001600US0639","Congressional District 39 (116th Congress), California","96280","3273",
"5001600US0640","Congressional District 40 (116th Congress), California","58834","2703",
"5001600US0641","Congressional District 41 (116th Congress), California","70144","2464",
"5001600US0642","Congressional District 42 (116th Congress), California","92503","3837",
"5001600US0643","Congressional District 43 (116th Congress), California","69075","2922",
"5001600US0644","Congressional District 44 (116th Congress), California","59003","2621",
"5001600US0645","Congressional District 45 (116th Congress), California","111276","2636",
"5001600US0646","Congressional District 46 (116th Congress), California","75036","3927",
"5001600US0647","Congressional District 47 (116th Congress), California","73277","2529",
"5001600US0648","Congressional District 48 (116th Congress), California","97682","4312",
"5001600US0649","Congressional District 49 (116th Congress), California","97685","4310",
"5001600US0650","Congressional District 50 (116th Congress), California","78947","3456",
"5001600US0651","Congressional District 51 (116th Congress), California","53941","2556",
"5001600US0652","Congressional District 52 (116th Congress), California","101130","2083",
"5001600US0653","Congressional District 53 (116th Congress), California","81279","2229",
"5001600US0601","Congressional District 1 (116th Congress), California","56008","1862",
"5001600US0602","Congressional District 2 (116th Congress), California","79338","3818",
"5001600US0603","Congressional District 3 (116th Congress), California","70807","1949",
"5001600US0604","Congressional District 4 (116th Congress), California","78285","2703",
"5001600US0605","Congressional District 5 (116th Congress), California","83141","3082",
"5001600US0606","Congressional District 6 (116th Congress), California","62594","2390",
"5001600US0607","Congressional District 7 (116th Congress), California","81435","1938",
"5001600US0608","Congressional District 8 (116th Congress), California","56311","3004",
"5001600US0609","Congressional District 9 (116th Congress), California","74078","3223",
"5001600US0610","Congressional District 10 (116th Congress), California","67939","2797",
"5001600US0611","Congressional District 11 (116th Congress), California","102740","3122",
"5001600US0612","Congressional District 12 (116th Congress), California","118993","6508",
"5001600US0613","Congressional District 13 (116th Congress), California","86963","3762",
"5001600US0614","Congressional District 14 (116th Congress), California","121360","5091",
"5001600US0615","Congressional District 15 (116th Congress), California","118593","4864",
"5001600US0616","Congressional District 16 (116th Congress), California","50583","2516",
"5001600US0617","Congressional District 17 (116th Congress), California","129602","5733",
"5001600US0618","Congressional District 18 (116th Congress), California","142215","5768",
"5001600US0619","Congressional District 19 (116th Congress), California","109704","5192",
"5001600US0620","Congressional District 20 (116th Congress), California","83722","3978",
"5001600US0621","Congressional District 21 (116th Congress), California","51382","2955",
"5001600US0622","Congressional District 22 (116th Congress), California","65339","3599",
"5001600US0623","Congressional District 23 (116th Congress), California","59881","2337",
"5001600US0624","Congressional District 24 (116th Congress), California","78085","3170",
"5001600US0625","Congressional District 25 (116th Congress), California","83915","3631",
"5001600US0626","Congressional District 26 (116th Congress), California","88047","2769",
"5001600US0627","Congressional District 27 (116th Congress), California","82690","4159",
"5001600US0628","Congressional District 28 (116th Congress), California","76727","2029",
"5001600US0629","Congressional District 29 (116th Congress), California","61523","2641",
"5001600US0630","Congressional District 30 (116th Congress), California","86771","3318",
"5001600US0631","Congressional District 31 (116th Congress), California","69368","3838",
"5001600US0632","Congressional District 32 (116th Congress), California","75176","1774",
"5001600US0633","Congressional District 33 (116th Congress), California","117040","5043",
"5001600US0634","Congressional District 34 (116th Congress), California","51744","2050",
"5001600US0635","Congressional District 35 (116th Congress), California","69814","2011",
"5001600US0636","Congressional District 36 (116th Congress), California","50857","2393",
"5001600US0637","Congressional District 37 (116th Congress), California","67686","3817",
"5001600US0638","Congressional District 38 (116th Congress), California","77214","2816",
"5001600US0639","Congressional District 39 (116th Congress), California","96280","3273",
"5001600US0640","Congressional District 40 (116th Congress), California","58834","2703",
"5001600US0641","Congressional District 41 (116th Congress), California","70144","2464",
"5001600US0642","Congressional District 42 (116th Congress), California","92503","3837",
"5001600US0643","Congressional District 43 (116th Congress), California","69075","2922",
"5001600US0644","Congressional District 44 (116th Congress), California","59003","2621",
"5001600US0645","Congressional District 45 (116th Congress), California","111276","2636",
"5001600US0646","Congressional District 46 (116th Congress), California","75036","3927",
"5001600US0647","Congressional District 47 (116th Congress), California","73277","2529",
"5001600US0648","Congressional District 48 (116th Congress), California","97682","4312",
"5001600US0649","Congressional District 49 (116th Congress), California","97685","4310",
"5001600US0650","Congressional District 50 (116th Congress), California","78947","3456",
"5001600US0651","Congressional District 51 (116th Congress), California","53941","2556",
"5001600US0652","Congressional District 52 (116th Congress), California","101130","2083",
"5001600US0653","Congressional District 53 (116th Congress), California","81279","2229",
